path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,weight_diff_mean,weight_diff_95p,weight_diff_5p,air_diff_mean,air_diff_95p,air_diff_5p
../Simulation_results/18-01-2023/models/20_exponential_weight_1000bootsraps1knots_Right,20,exponential_weight,1000,1,180,Right,0.018029483523219824,0.03302227929234504,0.007344459975138307,1.555035273630172,3.596886527538297,0.1528096914291382
../Simulation_results/18-01-2023/models/20_exponential_weight_1000bootsraps2knots_Right,20,exponential_weight,1000,2,180,Right,0.02704479994950816,0.05057472698390484,0.01192746269516647,1.7768843605229632,4.738504683971405,0.11212812662124634
../Simulation_results/18-01-2023/models/20_bi_linear_weight_1000bootsraps1knots_Right,20,bi_linear_weight,1000,1,180,Right,0.09466948447097093,0.27338977307081186,0.023585048131644727,11.924492000468076,31.784615170955657,2.082807958126068
../Simulation_results/18-01-2023/models/20_bi_linear_weight_1000bootsraps2knots_Right,20,bi_linear_weight,1000,2,180,Right,7.679428949961439,0.6052663266658775,0.03109470009803772,1368.6959575680867,63.18324645757668,2.74946049451828
../Simulation_results/18-01-2023/models/30_exponential_weight_1000bootsraps1knots_Right,30,exponential_weight,1000,1,180,Right,0.014413502909243106,0.026538076438009737,0.005940682790242136,1.0926713814502582,2.9434283375740025,0.09064254462718964
../Simulation_results/18-01-2023/models/30_exponential_weight_1000bootsraps2knots_Right,30,exponential_weight,1000,2,180,Right,0.027364987087901683,0.05066050309687852,0.011018688138574362,1.2677043754588813,3.421912252902984,0.0848089873790741
../Simulation_results/18-01-2023/models/30_bi_linear_weight_1000bootsraps1knots_Right,30,bi_linear_weight,1000,1,180,Right,0.022006127728614957,0.038394391722977164,0.010048080189153551,1.0892314084228127,2.8602795183658594,0.10400737524032594
../Simulation_results/18-01-2023/models/30_bi_linear_weight_1000bootsraps2knots_Right,30,bi_linear_weight,1000,2,180,Right,0.03318901808001101,0.05460482444614171,0.018035196606069802,1.7617182331308723,4.387751805782317,0.1345335900783539
../Simulation_results/18-01-2023/models/40_exponential_weight_1000bootsraps1knots_Right,40,exponential_weight,1000,1,180,Right,0.015647520513739438,0.025469204317778348,0.007164965802803636,1.0945835800440982,2.7573783934116354,0.09533559978008271
../Simulation_results/18-01-2023/models/40_exponential_weight_1000bootsraps2knots_Right,40,exponential_weight,1000,2,180,Right,0.025786624750122427,0.04676059782505035,0.011055504390969872,1.0707153703244403,2.7203761339187613,0.07667653560638428
../Simulation_results/18-01-2023/models/40_bi_linear_weight_1000bootsraps1knots_Right,40,bi_linear_weight,1000,1,180,Right,0.007750468171027023,0.015078144893050191,0.0022862925310619176,0.9081079400095623,2.2463308036327363,0.07081683874130248
../Simulation_results/18-01-2023/models/40_bi_linear_weight_1000bootsraps2knots_Right,40,bi_linear_weight,1000,2,180,Right,0.008945483549498022,0.016090035904198878,0.0036317942780442537,0.8612043021456338,2.052415430545806,0.06320492923259735
