"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"22","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-22_1",1.25,"exponential_scenario",2000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,19617.4571469907,1.26530086798973,1.00743382713526,1.56550562857987
"23","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-23_1",1.5,"exponential_scenario",2000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,19490.5887288543,1.52549248795251,1.23383021229677,1.89352181251294
"24","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-24_1",2,"exponential_scenario",2000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,19203.4349111462,1.93293763462837,1.53881925131402,2.47913701203697
"25","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-25_1",2.8,"exponential_scenario",2000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,19252.3690453002,3.06437985088934,2.4385386238701,3.83903300509864
"26","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-26_1",1,"exponential_scenario",5000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,55851.0962278718,0.974029753617523,0.844651986229704,1.11895643497212
"27","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-27_1",1.25,"exponential_scenario",5000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,54690.9140544545,1.30634236908172,1.14669080957885,1.47008664059931
"28","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-28_1",1.5,"exponential_scenario",5000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,55553.4227879377,1.47913642378825,1.29383435248891,1.69636100251188
"29","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-29_1",2,"exponential_scenario",5000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,55273.7884920855,1.74134545201002,1.51419592009006,2.00926786211621
"30","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-30_1",2.8,"exponential_scenario",5000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,55237.8251316162,2.60676746984042,2.28057650877067,3.00296289572228
"31","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-31_1",1,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121989.080160455,1.03038820004742,0.933710207807797,1.1293033240796
"32","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-32_1",1.25,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,120994.87414179,1.2004026703998,1.09316508312096,1.3149088581018
"33","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-33_1",1.5,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,122644.574466395,1.44503655726635,1.30745070690479,1.59926529551075
"34","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-34_1",2,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,121454.267886297,1.84949445850715,1.6802747417377,2.05566955437964
"35","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-35_1",2.8,"exponential_scenario",10000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,120316.406468881,2.69446309887752,2.42911708815455,2.99434315326274
"36","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-36_1",1,"exponential_scenario",20000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,264023.013628614,0.990303918179068,0.927858242748104,1.05802490543222
"37","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-37_1",1.25,"exponential_scenario",20000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,263458.759465658,1.21225636809462,1.13149259546805,1.29564408591707
"38","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-38_1",1.5,"exponential_scenario",20000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,263294.855808449,1.40642820483131,1.31620576501826,1.50867951540353
"39","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-39_1",2,"exponential_scenario",20000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,262067.522950206,1.99146665885376,1.86205031109445,2.13227335684803
"40","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-40_1",2.8,"exponential_scenario",20000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,261242.984623372,2.61549525651356,2.44228568931698,2.81696635805299
"41","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-41_1",1,"exponential_scenario",50000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,727364.5212568,1,0.945209718984506,1.03036986367619
"42","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-42_1",1.25,"exponential_scenario",50000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,728976.067455111,1.17132360438966,1.11998041241945,1.22550792879267
"43","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-43_1",1.5,"exponential_scenario",50000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,727291.261069341,1.504590065786,1.43682619066833,1.5648695277689
"44","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-44_1",2,"exponential_scenario",50000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,727874.352605528,1.95842970666357,1.8677728083302,2.0343229222359
"45","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-45_1",2.8,"exponential_scenario",50000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,721230.10508584,2.6229419340778,2.51571439776852,2.73928865714624
"46","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-46_1",1,"exponential_scenario",100000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1559069.29040546,1,0.951923661882236,1.01612525239786
"47","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-47_1",1.25,"exponential_scenario",100000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1559223.38054971,1.24085279190225,1.20424285166524,1.27715128295422
"48","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-48_1",1.5,"exponential_scenario",100000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1561968.84501351,1.43498279452395,1.39391602142856,1.48326353364382
"49","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-49_1",2,"exponential_scenario",100000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1558041.79172497,1.88534712154772,1.830745935146,1.94901418231005
"50","2024-04-18 : analysis 1 knot exponential scenario 100 - 100 000 _condition-50_1",2.8,"exponential_scenario",100000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,1554255.75689762,2.55800251598116,2.47684417226656,2.64610223311241
