"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5"
"1",1,100000,1000,180,1.25,1.23065081680254,1.18872650041293,1.27451587260173
"2",1,100000,1000,180,1.5,1.4403280166425,1.39487481697661,1.48837013500421
"3",1,100000,1000,180,2,1.9285518578037,1.86274000775031,1.99824845067544
"4",1,100000,1000,180,2.8,2.72759064265503,2.63103378014645,2.82426719504972
"5",1,100000,1000,180,3.5,3.21793344300333,3.09231854674357,3.33749124818789
