"","simulation_id","HR_target","scenario_functions","n_patients","max_time","doses","binarization_dose","n_knots","constraint","cutoff","n_bootstraps","BIC","HR","lower_IC","higher_IC"
"24","2024-04-25 : variability simulation 100000_condition-1_24",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8747.6601463774,1.10288452021528,0.840778711475635,1.45836885671872
"25","2024-04-25 : variability simulation 100000_condition-1_25",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8753.57729165758,1.5295543555125,1.16311206371391,2.09724623830184
"26","2024-04-25 : variability simulation 100000_condition-1_26",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8689.97229774459,1.80934517153549,1.27833645019596,2.57883276954996
"27","2024-04-25 : variability simulation 100000_condition-1_27",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8299.46664999113,1.2480134070148,0.934067030009185,1.70330366161515
"28","2024-04-25 : variability simulation 100000_condition-1_28",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8403.08052553276,1.29710042603928,0.996615772631304,1.67748683722693
"29","2024-04-25 : variability simulation 100000_condition-1_29",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8975.69092496251,1.30912615629787,0.953947487793278,1.80634705191206
"30","2024-04-25 : variability simulation 100000_condition-1_30",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8676.80277814342,1.31414805618374,0.947279349475505,1.82688744035488
"31","2024-04-25 : variability simulation 100000_condition-1_31",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8794.11038272906,1.39079349819718,1.05958025515466,1.83585725400239
"32","2024-04-25 : variability simulation 100000_condition-1_32",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8559.76970427108,1.40449122777006,1.00837055703707,1.97270078139219
"33","2024-04-25 : variability simulation 100000_condition-1_33",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8590.94235357325,1.39160802106155,1.02208857950635,1.93466743787177
"34","2024-04-25 : variability simulation 100000_condition-1_34",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8820.43546866656,1.41470963621923,1.0471211029139,1.95611961086988
"35","2024-04-25 : variability simulation 100000_condition-1_35",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8806.47073775406,1.62424761415566,1.22739829969223,2.17890310395459
"36","2024-04-25 : variability simulation 100000_condition-1_36",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8439.88101186088,1.98706766400494,1.42639173643498,2.83439117307879
"37","2024-04-25 : variability simulation 100000_condition-1_37",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8788.75985539618,1.64173110425817,1.19884504307736,2.28522440024044
"38","2024-04-25 : variability simulation 100000_condition-1_38",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8907.0541252425,1.44290636640004,1.0193939312144,2.01021749919709
"39","2024-04-25 : variability simulation 100000_condition-1_39",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8360.75099260717,1.45106226237988,1.04963111042828,2.00089833172218
"40","2024-04-25 : variability simulation 100000_condition-1_40",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8784.62482022906,1.45675499901885,1.03627917627868,2.03160338520559
"41","2024-04-25 : variability simulation 100000_condition-1_41",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8726.1481547347,1.30286663132513,0.891205179836797,1.82364426917069
"42","2024-04-25 : variability simulation 100000_condition-1_42",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8611.06305753995,1.36270273950206,0.969937100451657,1.96946596340772
"43","2024-04-25 : variability simulation 100000_condition-1_43",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,9029.81812528874,1.73880781559138,1.23289248260705,2.46854933652267
"44","2024-04-25 : variability simulation 100000_condition-1_44",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8893.40576129054,1.50105915854258,1.13686842547996,2.00247983671942
"45","2024-04-25 : variability simulation 100000_condition-1_45",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8982.63443133163,1.46944310080842,1.05558895572781,2.06459194719622
"46","2024-04-25 : variability simulation 100000_condition-1_46",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8761.71164110076,1.3814502258328,1.00971530728985,1.92223479624512
"47","2024-04-25 : variability simulation 100000_condition-1_47",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8686.77419058336,1.67973432499479,1.26263181938716,2.34880790907826
"48","2024-04-25 : variability simulation 100000_condition-1_48",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8973.83536541366,1.50397155180951,1.10762619829069,2.03012444762939
"49","2024-04-25 : variability simulation 100000_condition-1_49",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8705.23417079147,1.61523506135164,1.19837544357531,2.2334367630897
"50","2024-04-25 : variability simulation 100000_condition-1_50",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8646.29011554576,2.01877544192488,1.52994495442791,2.704899976923
"51","2024-04-25 : variability simulation 100000_condition-1_51",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8585.96931530763,1.7209694728262,1.24907601238909,2.45848137239471
"52","2024-04-25 : variability simulation 100000_condition-1_52",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8765.3223930275,1.98435376731983,1.50445407747014,2.72835479723541
"53","2024-04-25 : variability simulation 100000_condition-1_53",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8882.87537652492,1.35806297676533,1.03258499726566,1.84741322692263
"54","2024-04-25 : variability simulation 100000_condition-1_54",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8309.65984762979,1.38681248074796,0.966455655749395,1.94353596294681
"55","2024-04-25 : variability simulation 100000_condition-1_55",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8855.99827116733,1.62281612565221,1.17169725663546,2.22388754116873
"56","2024-04-25 : variability simulation 100000_condition-1_56",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8662.8697875472,1.57469787494247,1.16628188615241,2.19222134176273
"57","2024-04-25 : variability simulation 100000_condition-1_57",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8835.2223570387,1.66419693464619,1.17626131208044,2.39116543453132
"58","2024-04-25 : variability simulation 100000_condition-1_58",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8813.98824214859,1.69424859064958,1.24159978796559,2.37255003381451
"59","2024-04-25 : variability simulation 100000_condition-1_59",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8706.18320545944,1.28488838509158,0.952963753246988,1.78209919609406
"60","2024-04-25 : variability simulation 100000_condition-1_60",1.5,"exponential_scenario",1000,365,"c(1, 1.5, 2, 2.5, 3)","FALSE",1,"R",180,1000,8941.41903570335,1.50678560870352,1.10914768176906,2.02781414336253
