"","weight_function","n_patients","n_bootstraps","cutoff","HR_target","HR_calculated_GPU_bootstraps","HR_calculated_GPU_bootstraps_2_5","HR_calculated_GPU_bootstraps_97_5","BIC_results","nknots"
"1","exponential_weight",100,1000,180,1.25,0.727143880558814,0.137894552384063,2.63663927016355,544.929958359164,1
"2","exponential_weight",100,1000,180,1.5,0.611081507064159,0.140421839966038,2.03635839533215,505.397538965696,1
"3","exponential_weight",100,1000,180,2,0.69454248691009,0.151424897914431,2.05748631373911,545.482667336533,1
"4","exponential_weight",100,1000,180,2.8,4.20175281080982,1.22830146876549,20.9791570016334,439.947828266192,1
"5","exponential_weight",200,1000,180,1.25,1.12423021495228,0.43455966104393,2.49485597757995,1267.77773997985,1
"6","exponential_weight",200,1000,180,1.5,1.38229771997715,0.807150508075476,2.43123238512423,1283.41146889408,1
"7","exponential_weight",200,1000,180,2,1.67704143279419,0.635538976235639,3.50682738978125,1202.21145502514,1
"8","exponential_weight",200,1000,180,2.8,1.45793884824976,0.411362476342321,4.30383375624344,1176.21375343424,1
"9","exponential_weight",500,1000,180,1.25,0.729339057998113,0.415764303457826,1.17205609482629,3914.4558248141,1
"10","exponential_weight",500,1000,180,1.5,1.5910605628852,0.865763813988871,2.70434998396361,3910.45301580116,1
"11","exponential_weight",500,1000,180,2,1.93428500687418,1.26180941281476,3.34165913885708,3905.75975902028,1
"12","exponential_weight",500,1000,180,2.8,2.51177779310368,1.42913667890112,3.97456509255894,3865.71266817953,1
"13","exponential_weight",1000,1000,180,1.25,1.53038878693576,1.11177330275757,2.12180669809843,8624.48894670011,1
"14","exponential_weight",1000,1000,180,1.5,1.27314326443643,0.893760777636586,1.75063318886036,8755.26107584201,1
"15","exponential_weight",1000,1000,180,2,1.30008054145144,0.904529808274825,1.80807415848416,8436.6928503993,1
"16","exponential_weight",1000,1000,180,2.8,1.98827738985365,1.28158444829767,3.05070003685467,8617.49103693248,1
"17","exponential_weight",2000,1000,180,1.25,1.46250606808254,1.18599221758163,1.7759574400717,19793.6182128494,1
"18","exponential_weight",2000,1000,180,1.5,2.03859435757079,1.59909502891075,2.58532773670696,19559.8703203128,1
"19","exponential_weight",2000,1000,180,2,2.24191886355451,1.72241866244071,2.91890484629422,19676.1413072734,1
"20","exponential_weight",2000,1000,180,2.8,2.86239762065671,2.26447268211482,3.63367106738889,19455.8764229144,1
"21","exponential_weight",5000,1000,180,1.25,1.26893811870283,1.09183309336805,1.48624445573817,55910.634591452,1
"22","exponential_weight",5000,1000,180,1.5,1.52710395003253,1.31666472527536,1.76832976151573,55739.3669078146,1
"23","exponential_weight",5000,1000,180,2,2.04156939024805,1.73163804426828,2.38249449729284,55169.5466702254,1
"24","exponential_weight",5000,1000,180,2.8,2.35871384313616,1.97554712031939,2.76578949206102,54371.4654791396,1
"25","exponential_weight",10000,1000,180,1.25,1.16628855094726,1.05642260261109,1.29913978052263,121521.278796347,1
"26","exponential_weight",10000,1000,180,1.5,1.62401693548965,1.46233124748478,1.80957422229869,122971.682034049,1
"27","exponential_weight",10000,1000,180,2,1.85808104289232,1.65151827757106,2.06105636878961,120587.179768017,1
"28","exponential_weight",10000,1000,180,2.8,2.92318819842065,2.63992887463421,3.26251749350231,120392.433917542,1
"29","exponential_weight",20000,1000,180,1.25,1.22990847880083,1.14024284182047,1.31391957815522,263933.188007059,1
"30","exponential_weight",20000,1000,180,1.5,1.4977800144086,1.40078767137582,1.61540354025045,265338.649008178,1
"31","exponential_weight",20000,1000,180,2,2.02496807279212,1.87969659471077,2.19566495909859,262599.98312167,1
"32","exponential_weight",20000,1000,180,2.8,2.6741530442714,2.46319571408827,2.88067622763866,264609.02392457,1
"33","exponential_weight",50000,1000,180,1.25,1.23296159600678,1.17276056779905,1.28152528185486,732185.458415323,1
"34","exponential_weight",50000,1000,180,1.5,1.45093649258241,1.38528753963924,1.51657672170407,731359.578976829,1
"35","exponential_weight",50000,1000,180,2,1.93343633641159,1.83791684695993,2.02703911749739,732617.157375668,1
"36","exponential_weight",50000,1000,180,2.8,2.66382726104721,2.53457140467104,2.79488021342057,724431.883931135,1
"37","exponential_weight",100000,1000,180,1.25,1.24334024435783,1.20153252685966,1.28408908369667,1563512.29368088,1
"38","exponential_weight",100000,1000,180,1.5,1.53478158280835,1.48584289033271,1.58994814224107,1572218.93418215,1
"39","exponential_weight",100000,1000,180,2,2.00585412849714,1.94462209602185,2.07536375611976,1566679.03066508,1
"40","exponential_weight",100000,1000,180,2.8,2.7136286129858,2.6133692119741,2.81002167940887,1561166.20865945,1
"41","exponential_weight",100,1000,180,1.25,0.573343026577214,0.0826287219702049,2.28806694801961,550.366693390425,2
"42","exponential_weight",100,1000,180,1.5,0.497298651433583,0.115103754548784,1.62297947607042,505.232589378985,2
"43","exponential_weight",100,1000,180,2,0.626494027911062,0.107529360524113,2.03375267995755,550.004342937561,2
"44","exponential_weight",100,1000,180,2.8,4.19735452010379,1.02892607373583,25.3705776381593,443.234867507999,2
"45","exponential_weight",200,1000,180,1.25,1.57214576463231,0.524335256047163,4.4940024030336,1275.40216998941,2
"46","exponential_weight",200,1000,180,1.5,1.41550527881557,0.723213382351414,2.48000265845979,1287.53147478114,2
"47","exponential_weight",200,1000,180,2,1.55000257588092,0.467230487650341,3.64605715154561,1202.29876276708,2
"48","exponential_weight",200,1000,180,2.8,1.09992441544489,0.272763151823462,3.71000591001895,1174.01731931694,2
"49","exponential_weight",500,1000,180,1.25,0.687764789998323,0.338564498160552,1.23225663349941,3932.71075347935,2
"50","exponential_weight",500,1000,180,1.5,2.39379491552085,1.33218289744619,4.18781470869634,3902.10992455129,2
"51","exponential_weight",500,1000,180,2,1.73434685007593,1.08153116993019,2.86459040587663,3916.11626251532,2
"52","exponential_weight",500,1000,180,2.8,2.56205058652066,1.39540904922944,4.47887015790121,3854.03905496854,2
"53","exponential_weight",1000,1000,180,1.25,1.5154308852852,1.0376105864736,2.22989532696795,8639.63516412228,2
"54","exponential_weight",1000,1000,180,1.5,1.19052288427465,0.78041741062671,1.79208238687858,8752.65875541956,2
"55","exponential_weight",1000,1000,180,2,1.32004971582791,0.906292454484608,1.87777425251718,8457.87554239438,2
"56","exponential_weight",1000,1000,180,2.8,1.83357489411932,1.1818328300011,2.95418472693868,8635.25576978367,2
"57","exponential_weight",2000,1000,180,1.25,1.48859399324578,1.17953050323777,1.88155715114921,19851.2250175231,2
"58","exponential_weight",2000,1000,180,1.5,2.00321315156823,1.53641941953009,2.61316160481856,19578.8771145837,2
"59","exponential_weight",2000,1000,180,2,2.51703678964708,1.87615879714975,3.37416706571571,19656.6491011041,2
"60","exponential_weight",2000,1000,180,2.8,2.94123288477177,2.24813970742253,3.84441097607238,19457.229799563,2
"61","exponential_weight",5000,1000,180,1.25,1.26824295923008,1.06213680156139,1.51598432400231,55868.1227274047,2
"62","exponential_weight",5000,1000,180,1.5,1.58448712829972,1.33952009911962,1.88931910953729,55729.9291882841,2
"63","exponential_weight",5000,1000,180,2,1.97225169476189,1.6713393562807,2.33132043389482,55149.8510017068,2
"64","exponential_weight",5000,1000,180,2.8,2.36829324177949,1.95129986435019,2.84902935275735,54421.3148055195,2
"65","exponential_weight",10000,1000,180,1.25,1.18297028087761,1.05114919793274,1.32472378071132,121588.202952421,2
"66","exponential_weight",10000,1000,180,1.5,1.61817402626948,1.42715121903622,1.82167358628723,122963.126652169,2
"67","exponential_weight",10000,1000,180,2,1.93353801294377,1.69439717575734,2.20019369781315,120560.245727148,2
"68","exponential_weight",10000,1000,180,2.8,2.95833780122568,2.62906383875985,3.38277217801438,120524.787429119,2
"69","exponential_weight",20000,1000,180,1.25,1.22925197162018,1.13267504796565,1.33472929229471,263769.082472953,2
"70","exponential_weight",20000,1000,180,1.5,1.50652178595365,1.38530175985689,1.64014094784084,265245.063578613,2
"71","exponential_weight",20000,1000,180,2,2.0503085713166,1.87861490264865,2.24873967792167,262706.410584101,2
"72","exponential_weight",20000,1000,180,2.8,2.70723573643364,2.47569197446163,2.95923427020732,264686.232409844,2
"73","exponential_weight",50000,1000,180,1.25,1.21899717580213,1.16130453394611,1.27911768857179,732025.090657931,2
"74","exponential_weight",50000,1000,180,1.5,1.45949525221594,1.38493813297256,1.54086772266692,731379.228364939,2
"75","exponential_weight",50000,1000,180,2,1.9494952802675,1.84261005782756,2.0476338916366,732971.352146724,2
"76","exponential_weight",50000,1000,180,2.8,2.72566680830447,2.57620302061126,2.88004286540627,724501.778741513,2
"77","exponential_weight",100000,1000,180,1.25,1.23919234691113,1.19343753740714,1.2870823633831,1563311.44574117,2
"78","exponential_weight",100000,1000,180,1.5,1.54474380782968,1.49109863510211,1.60266802684634,1572289.10957621,2
"79","exponential_weight",100000,1000,180,2,2.03696227267267,1.96007397250181,2.11593961397204,1566052.43263677,2
"80","exponential_weight",100000,1000,180,2.8,2.72668033426261,2.61779891889023,2.84237825167987,1561293.4493376,2
"81","exponential_weight",100,1000,180,1.25,0.616231344986516,0.0245990670235424,3.42610516218381,551.028491776178,3
"82","exponential_weight",100,1000,180,1.5,0.562227459798129,0.141680589412742,3.32343532023101,510.101464590857,3
