path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization,sum_weight_diff_mean,sum_weight_diff_95p,sum_weight_diff_5p,AUC_diff_mean,AUC_diff_95p,AUC_diff_5p
Simulation_results/multiple weights : 100 - 10000/models/100_inverted_u_weight_1000bootsraps3knots_None,100,inverted_u_weight,1000,3,180,None,9.724061727523804,1,1.9654703182578086,2.6708801865577696,1.3225082874298095,0.6919007539609262,1.3851801970489657,0.09048824142814675
Simulation_results/multiple weights : 100 - 10000/models/100_null_weight_1000bootsraps1knots_Right,100,null_weight,1000,1,180,Right,5.749212980270386,1,0.6760637459829449,1.220773684978485,0.25112183913588526,0.4275127090257221,1.0295663383639748,0.029863294554638743
Simulation_results/multiple weights : 100 - 10000/models/100_null_weight_1000bootsraps1knots_None,100,null_weight,1000,1,180,None,8.013267278671265,1,1.0296430305987596,1.735266280174255,0.4728068456053734,0.5364234948504818,1.2635728130873758,0.04507187189228717
Simulation_results/multiple weights : 100 - 10000/models/100_null_weight_1000bootsraps2knots_Right,100,null_weight,1000,2,180,Right,7.0684814453125,1,0.8254512363374233,1.3845167219638823,0.3592997774481773,0.4501393570196238,1.0595897788038655,0.04140975949214863
Simulation_results/multiple weights : 100 - 10000/models/100_null_weight_1000bootsraps2knots_None,100,null_weight,1000,2,180,None,9.082171201705933,1,1.14862125441432,1.8470705032348629,0.5888037711381913,0.4971836317489351,1.2001446936978026,0.04994716410001274
Simulation_results/multiple weights : 100 - 10000/models/100_null_weight_1000bootsraps3knots_Right,100,null_weight,1000,3,180,Right,8.182703018188477,1,0.9046028313785791,1.4772721111774445,0.4428096994757652,0.45569360261983605,1.0844198536063687,0.029533024633428797
Simulation_results/multiple weights : 100 - 10000/models/100_null_weight_1000bootsraps3knots_None,100,null_weight,1000,3,180,None,10.392168998718262,1,1.340537438482046,2.064878177642822,0.7375225245952606,0.5283349974492557,1.2956580242062041,0.044962834245961855
Simulation_results/multiple weights : 100 - 10000/models/1000_bi_linear_weight_1000bootsraps1knots_Right,1000,bi_linear_weight,1000,1,180,Right,11.491567611694336,1,1.0546452474594117,1.2324249148368835,0.906063836812973,0.7334836350115276,0.9272427451868224,0.5458395006929088
Simulation_results/multiple weights : 100 - 10000/models/1000_bi_linear_weight_1000bootsraps1knots_None,1000,bi_linear_weight,1000,1,180,None,16.465041875839233,1,1.2594481524825096,1.453741019964218,1.0714028239250184,0.5454807604158823,0.7687443309609079,0.31778579381352756
Simulation_results/multiple weights : 100 - 10000/models/1000_bi_linear_weight_1000bootsraps2knots_Right,1000,bi_linear_weight,1000,2,180,Right,13.76504111289978,1,1.1212569290995598,1.3106493771076202,0.9462769836187362,0.6549676129922766,0.8566599665035142,0.4527048726069097
Simulation_results/multiple weights : 100 - 10000/models/1000_bi_linear_weight_1000bootsraps2knots_None,1000,bi_linear_weight,1000,2,180,None,18.47259259223938,1,1.2509514694809913,1.4608414232730866,1.056149685382843,0.5443064037403765,0.7563443235911106,0.30996051502006594
Simulation_results/multiple weights : 100 - 10000/models/1000_bi_linear_weight_1000bootsraps3knots_Right,1000,bi_linear_weight,1000,3,180,Right,16.296111583709717,1,1.1358546699285508,1.3296946644783019,0.9484388947486878,0.6467366838806804,0.8482044499013227,0.42849635439692974
Simulation_results/multiple weights : 100 - 10000/models/1000_bi_linear_weight_1000bootsraps3knots_None,1000,bi_linear_weight,1000,3,180,None,21.450922966003418,1,1.2629503839612006,1.4708479046821594,1.0584803581237794,0.556220320956646,0.8065493555081048,0.33092396747815656
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps1knots_Right,1000,early_peak_weight,1000,1,180,Right,11.919235706329346,1,1.065214283645153,1.2714723467826843,0.9025717407464982,0.7835761719584303,0.9778491041993479,0.5981228755326331
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps1knots_None,1000,early_peak_weight,1000,1,180,None,17.060529232025146,1,1.3603663266897201,1.5624546825885772,1.1716747522354125,0.48409145740428394,0.6993903229666474,0.27007260297890845
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps2knots_Right,1000,early_peak_weight,1000,2,180,Right,14.118571043014526,1,1.1047932235598563,1.2967678606510162,0.9206047356128693,0.7469459665112492,0.9585088283325336,0.5508932447747188
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps2knots_None,1000,early_peak_weight,1000,2,180,None,18.891350507736206,1,1.3871165317296983,1.597654294967651,1.1986514925956726,0.4852485185834879,0.7239078236951545,0.2615048416823274
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps3knots_Right,1000,early_peak_weight,1000,3,180,Right,16.64573645591736,1,1.1953759544491769,1.3986938893795013,0.9894620567560196,0.6840051648806015,0.8957338576935772,0.4756448350232322
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps3knots_None,1000,early_peak_weight,1000,3,180,None,21.397610902786255,1,1.3954739608764648,1.6060743391513823,1.2019266664981842,0.4804073784596793,0.7043851184288005,0.27358187481280855
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps1knots_Right,1000,early_peak_weight,1000,1,180,Right,12.190681219100952,1,1.065214283645153,1.2714723467826843,0.9025717407464982,0.7835761719584303,0.9778491041993479,0.5981228755326331
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps1knots_None,1000,early_peak_weight,1000,1,180,None,17.656293153762817,1,1.3603663266897201,1.5624546825885772,1.1716747522354125,0.48409145740428394,0.6993903229666474,0.27007260297890845
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps2knots_Right,1000,early_peak_weight,1000,2,180,Right,14.907496690750122,1,1.1047932235598563,1.2967678606510162,0.9206047356128693,0.7469459665112492,0.9585088283325336,0.5508932447747188
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps2knots_None,1000,early_peak_weight,1000,2,180,None,19.429381132125854,1,1.3871165317296983,1.597654294967651,1.1986514925956726,0.4852485185834879,0.7239078236951545,0.2615048416823274
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps3knots_Right,1000,early_peak_weight,1000,3,180,Right,17.183491945266724,1,1.1953759544491769,1.3986938893795013,0.9894620567560196,0.6840051648806015,0.8957338576935772,0.4756448350232322
Simulation_results/multiple weights : 100 - 10000/models/1000_early_peak_weight_1000bootsraps3knots_None,1000,early_peak_weight,1000,3,180,None,21.003276586532593,1,1.3954739608764648,1.6060743391513823,1.2019266664981842,0.4804073784596793,0.7043851184288005,0.27358187481280855
Simulation_results/multiple weights : 100 - 10000/models/1000_inverted_u_weight_1000bootsraps1knots_Right,1000,inverted_u_weight,1000,1,180,Right,12.378561019897461,1,0.8681149006485939,1.0055119872093201,0.7381960809230804,0.2530037261093035,0.439319677412009,0.06921763900593501
Simulation_results/multiple weights : 100 - 10000/models/1000_inverted_u_weight_1000bootsraps1knots_None,1000,inverted_u_weight,1000,1,180,None,17.551750898361206,1,1.2523164385557175,1.499708867073059,1.0143040597438813,0.10817038319495623,0.26333296613443113,0.00779592498475754
Simulation_results/multiple weights : 100 - 10000/models/1000_inverted_u_weight_1000bootsraps2knots_Right,1000,inverted_u_weight,1000,2,180,Right,15.41643738746643,1,0.9816840250492096,1.2031703174114228,0.7709208279848099,0.20980070955892027,0.40502114138080747,0.034507624429592994
Simulation_results/multiple weights : 100 - 10000/models/1000_inverted_u_weight_1000bootsraps2knots_None,1000,inverted_u_weight,1000,2,180,None,20.565657138824463,1,1.2380572957396507,1.4876571714878082,1.0002869874238969,0.11877768418456515,0.2808203211126517,0.009205322343813637
Simulation_results/multiple weights : 100 - 10000/models/1000_inverted_u_weight_1000bootsraps3knots_Right,1000,inverted_u_weight,1000,3,180,Right,17.27483320236206,1,1.174250238955021,1.4111369371414184,0.932636821269989,0.1397584203303046,0.3060604294576839,0.011953171989707379
Simulation_results/multiple weights : 100 - 10000/models/1000_inverted_u_weight_1000bootsraps3knots_None,1000,inverted_u_weight,1000,3,180,None,23.247755765914917,1,1.3045654218792915,1.5512139260768891,1.0603747248649598,0.11085998107890745,0.2665494444540394,0.006934770616144626
Simulation_results/multiple weights : 100 - 10000/models/1000_null_weight_1000bootsraps1knots_Right,1000,null_weight,1000,1,180,Right,12.199904441833496,1,0.19496038692630827,0.3582996025681494,0.0680300347507,0.10671047784477031,0.26630304690265233,0.008047766194414408
Simulation_results/multiple weights : 100 - 10000/models/1000_null_weight_1000bootsraps1knots_None,1000,null_weight,1000,1,180,None,17.250627279281616,1,0.39819694198668004,0.6188498109579086,0.2021780364215374,0.12072369170162346,0.30127527618606104,0.0078065603349386945
Simulation_results/multiple weights : 100 - 10000/models/1000_null_weight_1000bootsraps2knots_Right,1000,null_weight,1000,2,180,Right,14.607466697692871,1,0.2767469458952546,0.4457584545016289,0.12546539306640625,0.10032823801860316,0.2579441450953936,0.008834885010350036
Simulation_results/multiple weights : 100 - 10000/models/1000_null_weight_1000bootsraps2knots_None,1000,null_weight,1000,2,180,None,19.738839626312256,1,0.42181140231341124,0.635256654024124,0.22915882766246795,0.12772170036950412,0.30440401992382243,0.009810670820297674
Simulation_results/multiple weights : 100 - 10000/models/1000_null_weight_1000bootsraps3knots_Right,1000,null_weight,1000,3,180,Right,16.447823524475098,1,0.3096552312076092,0.5197820544242858,0.15020865350961685,0.10047628416702732,0.2557558726044696,0.008535390867274374
Simulation_results/multiple weights : 100 - 10000/models/1000_null_weight_1000bootsraps3knots_None,1000,null_weight,1000,3,180,None,22.00580668449402,1,0.4455166206732392,0.6562241196632385,0.26643260270357133,0.12608841938755722,0.3096769458763447,0.009656111850199522
Simulation_results/multiple weights : 100 - 10000/models/10000_bi_linear_weight_1000bootsraps1knots_Right,10000,bi_linear_weight,1000,1,180,Right,281.4729688167572,1,1.2021167013645173,1.2715042769908904,1.1365790843963623,0.6275800903277018,0.6942149873228715,0.5607546368524879
Simulation_results/multiple weights : 100 - 10000/models/10000_bi_linear_weight_1000bootsraps1knots_None,10000,bi_linear_weight,1000,1,180,None,405.52591490745544,1,1.2810433486700057,1.3548147320747375,1.2086051940917968,0.5306939820858079,0.6092757813919888,0.44808828488894503
Simulation_results/multiple weights : 100 - 10000/models/10000_bi_linear_weight_1000bootsraps2knots_Right,10000,bi_linear_weight,1000,2,180,Right,342.6175162792206,1,1.211206229686737,1.272451788187027,1.1441044867038728,0.5882793640086501,0.6512530013568266,0.5247268356905579
Simulation_results/multiple weights : 100 - 10000/models/10000_bi_linear_weight_1000bootsraps2knots_None,10000,bi_linear_weight,1000,2,180,None,464.1378741264343,1,1.2778674476146699,1.3588491797447204,1.2026396572589875,0.5279662408619588,0.6026385463595942,0.45625923821298786
Simulation_results/multiple weights : 100 - 10000/models/10000_bi_linear_weight_1000bootsraps3knots_Right,10000,bi_linear_weight,1000,3,180,Right,401.6563277244568,1,1.2346509516239166,1.305176454782486,1.167910236120224,0.5686062128944093,0.6327866525543641,0.5032654510569727
