"scenario","true_beta_CPU","mean_beta_CPU","sd_beta_CPU","biais_CPU","true_beta_GPU","mean_beta_GPU","sd_beta_GPU","biais_GPU","biais_diff","sted_diff"
"exponential_scenario",1.38629436111989,1.62667320957635,0.346442139697553,-17.3396686301369,1.38629436111989,1.62667337407765,0.346441914339756,-17.3396804963975,1.18662605608222e-05,2.2535779670152e-07
"bi_linear_scenario",1.38629436111989,1.52369039597476,0.210098334076974,-9.91102890614658,1.38629436111989,1.52369015014847,0.210097943391854,-9.91101117352775,-1.77326188275373e-05,3.90685120338352e-07
"early_peak_scenario",1.38629436111989,1.46151607213132,0.137250196003167,-5.42609947216844,1.38629436111989,1.46151697217647,0.137251562639737,-5.42616439670223,6.4924533785593e-05,-1.36663656954972e-06
"inverted_u_scenario",1.38629436111989,1.57394360658223,0.0273048059385126,-13.5360317927533,1.38629436111989,1.5739499971678,0.0273080562962219,-13.5364927760593,0.000460983305963225,-3.2503577093411e-06
