path,n_patients,weight_function,n_bootstraps,nknots,cutoff,constraint,computation_time,normalization,sum_weight_diff_mean,sum_weight_diff_95p,sum_weight_diff_5p,AUC_diff_mean,AUC_diff_95p,AUC_diff_5p
Simulation_results/exponential_weight 100 - 100 000/models/5000_exponential_weight_1000bootsraps3knots_None,5000,exponential_weight,1000,3,180,None,62.01489067077637,1,0.31161659641563894,0.41345127820968625,0.21434087827801704,0.06747327439826768,0.16525909505980962,0.005744942515411822
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps1knots_Right,10000,exponential_weight,1000,1,180,Right,286.2310938835144,1,0.11092439030855894,0.15304393991827964,0.07770346738398075,0.030731131051738372,0.07469634640230535,0.0026992376277746644
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps1knots_None,10000,exponential_weight,1000,1,180,None,404.98200392723083,1,0.13856185526400805,0.19789599701762198,0.08333514854311944,0.0700724104620931,0.13671978100937848,0.009149038276882494
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps2knots_Right,10000,exponential_weight,1000,2,180,Right,343.99764251708984,1,0.11954076978191733,0.1692947968840599,0.0769817989319563,0.03728038542880536,0.09040838806956225,0.0022414665998667263
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps2knots_None,10000,exponential_weight,1000,2,180,None,467.1316831111908,1,0.14157377425208686,0.1992576442658901,0.08777547217905521,0.06833488080528786,0.1370095447757194,0.008205741474557727
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps3knots_Right,10000,exponential_weight,1000,3,180,Right,404.5602762699127,1,0.12487031736597419,0.17605874612927436,0.08025356307625771,0.04153793515694649,0.10087755501740499,0.004543818273759825
Simulation_results/exponential_weight 100 - 100 000/models/10000_exponential_weight_1000bootsraps3knots_None,10000,exponential_weight,1000,3,180,None,522.2718458175659,1,0.15312469101324677,0.21392371058464046,0.0951122023165226,0.07043496865750422,0.13913130516484665,0.009773729667904263
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps1knots_Right,50000,exponential_weight,1000,1,180,Right,990.3148164749146,1,0.08155764103680849,0.11135542094707487,0.05959888938814402,0.06467136496418993,0.09265360924032393,0.03528646403228208
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps1knots_None,50000,exponential_weight,1000,1,180,None,1416.6514873504639,1,0.07375756382010877,0.1057617850601673,0.045939536206424235,0.03946139330777078,0.0731924151576095,0.005763212655074313
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps2knots_Right,50000,exponential_weight,1000,2,180,Right,1203.774483203888,1,0.08708274442702532,0.11570824608206749,0.06227790303528309,0.0663682727951134,0.09572484159034866,0.036597341495445336
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps2knots_None,50000,exponential_weight,1000,2,180,None,1630.1483268737793,1,0.08699787952005864,0.11619055122137069,0.05864184219390154,0.038902779422792265,0.07151882736816331,0.0075293692332707
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps3knots_Right,50000,exponential_weight,1000,3,180,Right,1411.3507018089294,1,0.09406497974321246,0.1207674115896225,0.06975712068378925,0.05246323960367121,0.08267024844682708,0.022959525907560875
Simulation_results/exponential_weight 100 - 100 000/models/50000_exponential_weight_1000bootsraps3knots_None,50000,exponential_weight,1000,3,180,None,1841.8435051441193,1,0.09520248740538954,0.12691149041056632,0.06733332350850105,0.03795328039957849,0.07192937096733658,0.006253634551467258
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps1knots_Right,100000,exponential_weight,1000,1,180,Right,1952.570872783661,1,0.08226652288809419,0.0983616717159748,0.06789599061012268,0.019859702472742186,0.037893744047045166,0.002691169753984468
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps1knots_None,100000,exponential_weight,1000,1,180,None,2796.5425503253937,1,0.07901164226606489,0.10210873186588287,0.056008366495370866,0.014990901419445436,0.035516012148218576,0.001184230595936242
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps2knots_Right,100000,exponential_weight,1000,2,180,Right,2373.809666633606,1,0.08460083325579762,0.10355155728757381,0.06712042987346649,0.010460730272871616,0.026501137125558214,0.0009130833431640895
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps2knots_None,100000,exponential_weight,1000,2,180,None,3225.796408176422,1,0.07948676411807537,0.10188570246100426,0.05702086985111236,0.015354177388192511,0.03601563607226124,0.00121246220132889
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps3knots_Right,100000,exponential_weight,1000,3,180,Right,2804.3771386146545,1,0.08178533592820167,0.1005246203392744,0.06281882748007775,0.010436331963837461,0.02501179443804629,0.0007221068917147023
Simulation_results/exponential_weight 100 - 100 000/models/100000_exponential_weight_1000bootsraps3knots_None,100000,exponential_weight,1000,3,180,None,3674.5168290138245,1,0.08317716250568628,0.10715014487504959,0.059359821304678914,0.015117596741782108,0.036292670495095075,0.0013363231330004055
